state	colour
-	#cc6766
11878928	#cc4b33
12153119	#cca899
12655080	#cc9466
15763147	#cc8f33
15896399	#ccbf99
15991708	#ccc266
16490142	#c4cc33
17326958	#c1cc99
18258039	#a8cc66
18931062	#80cc33
19061924	#abcc99
25685866	#7bcc66
29357361	#3ccc33
29529215	#99cc9d
30270887	#66cc7e
7844544	#33cc6d
Addax nasomaculatus	#99ccb4
African canid	#66ccab
African mongoose	#33ccb1
African viverrid	#99ccca
Alitax paludinosus	#66bfcc
Alopex	#33a2cc
Alopex lagopus	#99b6cc
Antrozous pallidus	#6691cc
Artibeus fimbriatus	#335ecc
Artibeus jamaicensis	#999fcc
Artibeus lituratus	#6766cc
Artibeus planirostris	#4b33cc
Artibeus planirostris (bat)	#a899cc
Artibeus sp.	#9466cc
Atilax paludinosus	#8f33cc
Axis axis	#bf99cc
Bat	#c266cc
Bos	#cc33c4
Bos grunniens	#cc99c1
Bos primigenius	#cc66a8
Bos primigenius taurus	#cc3380
Bos taurus	#cc99ab
Bubalus arnee	#cc667b
Bubalus bubalis	#cc333c
Buffalo	#cc3733
C. j. jacchus	#cca299
Callithrix jacchus	#cc8766
Callithrix jacchus (marmoset)	#cc7b33
Camel	#ccb899
Camelus	#ccb466
Camelus bactrianus	#ccbf33
Canadian hoary bat	#c8cc99
Canadian myotis	#b6cc66
Canadian red bat	#94cc33
Canadian silver-haired bat	#b1cc99
Canins lupis familiaris	#88cc66
Canis	#50cc33
Canis 	#9bcc99
Canis Adustus	#66cc70
Canis adustus	#33cc59
Canis aureus	#99ccad
Canis familiaris	#66cc9d
Canis latrans	#33cc9d
Canis lupus	#99ccc4
Canis lupus familaris	#66cccb
Canis lupus familiaris	#33b6cc
Canis lupus familiaris brain	#99bdcc
Canis lupus familiaris; male	#669fcc
Canis mesomelas	#3372cc
Canis mesomelas (Jackal)	#99a6cc
Canis mesomelas (jackal)	#6672cc
Canis mesomelas (silver jackal)	#3733cc
Canis simensis	#a299cc
Canis sp.	#8766cc
Capra	#7b33cc
Capra aegagrus	#b899cc
Capra aegagrus hircus	#b466cc
Capra hircus	#bf33cc
Capreolus capreolus	#cc99c8
Caprinae	#cc66b6
Caracal caracal	#cc3394
Cebus apella	#cc99b1
Cerdocyon thous	#cc6688
Cervidae	#cc3350
Cervus elaphus	#cc999b
Chinese ferret badger	#cc9b99
