state	colour
-	#cc6a66
11878928	#cc8133
15763147	#cccb99
15991708	#9dcc66
18258039	#3ecc33
25685866	#99ccac
29357361	#66ccbd
30270887	#3399cc
7844544	#99a3cc
African canid	#8166cc
Alitax paludinosus	#a333cc
Antrozous pallidus	#cc99c1
Atilax paludinosus	#cc6687
Bos	#cc4133
Bos primigenius	#ccb599
Bos taurus	#c8cc66
Camelus	#7fcc33
Canis	#9acc99
Canis Adustus	#66cc92
Canis adustus	#33ccbd
Canis lupus	#99b8cc
Canis mesomelas	#6675cc
Canis mesomelas (Jackal)	#6233cc
Canis mesomelas (jackal)	#c099cc
Canis mesomelas (silver jackal)	#cc66b2
Canis simensis	#cc335e
Capra	#cca099
Capra aegagrus hircus	#cca466
Capra hircus	#c0cc33
Caprinae	#b0cc99
Caracal caracal	#66cc67
Cerdocyon thous	#33cc7d
Chinese ferret badger	#99ccc9
Civet	#66a0cc
Civettictis civetta	#3343cc
Civettictis civetta (African civet)	#ab99cc
Crocuta crocuta	#ba66cc
Cynictis penicillata	#cc339e
Dama dama (fallow deer)	#cc99a4
Eptesicus furinalis	#cc7966
Eptesicus fuscus	#cc9733
Equus	#c5cc99
Equus  	#8fcc66
Equus asinus	#33cc3c
Equus caballus	#99ccb4
Equus ferus caballus	#66cccc
Felis	#3384cc
Felis catus	#999ccc
Felis lybica	#8f66cc
Felis serval	#b833cc
Felis silvestris catus	#cc99ba
Galerella pulverulenta	#cc6679
Galerella sanguinea	#cc5633
Genetta genetta	#ccbc99
Herpestes	#bacc66
Homo sapiens	#69cc33
Hyaena hyaena	#99cc9e
Hyena	#66cca0
Ichneumia albicauda	#33c4cc
Jackal	#99b1cc
Lasionycteris noctivagans	#6667cc
Lasiurus borealis	#7833cc
Lasiurus cinereus	#c899cc
Lasiurus intermedius	#cc66a4
Lasiurus seminolus	#cc3348
Lasiurus xanthinus	#cca799
Lutrinae sp.	#ccb266
Lycaon pictus	#aacc33
Mellivora capensis	#a8cc99
Melogale moschata (Chinese ferret badger)	#66cc75
Mephitis mephitis	#33cc92
Molossus molossus	#99c7cc
Mongoose spp.	#6692cc
Myotis austroriparius	#3733cc
Myotis yumanensis	#b299cc
Nasua narica	#c866cc
Nyctinomops laticaudatus	#cc3389
Otocyon megalotis	#cc999d
Ovis	#cc8766
Ovis aries	#ccac33
Papio ursinus	#becc99
Paradoxurus zeylonensis	#81cc66
Parastrellus hesperus	#33cc52
Perimyotis subflavus	#99ccbb
Philantomba monticola	#66bdcc
Procyon lotor	#336ecc
Proteles cristata	#9c99cc
Simiiformes	#9d66cc
Spilogale putorius	#cc33c9
Stenodermatinae sp.	#cc99b3
Suricata suricatta	#cc666a
Sus scrofa	#cc6c33
Tadarida brasiliensis	#ccc499
Tragelaphus	#accc66
Tragelaphus strepsiceros (Kudu)	#54cc33
Tragelaphus strepsiceros (Namibian kudu)	#99cca5
Unknown	#66ccaf
Vulpes chama	#33afcc
Vulpes vulpes	#99aacc
black-backed jackal	#7266cc
buffalo	#8d33cc
camel	#cc99c8
civet	#cc6695
dog	#cc3333
donkey	#ccae99
dromadery	#ccc066
dromedary	#95cc33
eland	#a1cc99
feline	#66cc84
ferret badger	#33cca8
genet	#99c0cc
honey badger	#6684cc
hyena	#4d33cc
jackal	#b999cc
kudu	#cc66c0
leopard	#cc3373
mongoose	#cc9566
monkey	#ccc233
nilgai	#b7cc99
not available	#72cc66
primate	#33cc67
side-stripped jackal	#99ccc2
skunk	#66afcc
small-spotted genet	#3359cc
squirrel	#a499cc
unknown	#ac66cc
wildlife	#cc33b4
zebra	#cc99ac
