DATASET_COLORSTRIP

SEPARATOR TAB
BORDER_WIDTH	0.5
MARGIN	5
STRIP_WIDTH	25
COLOR	#ffffff
DATASET_LABEL	dog

LEGEND_COLORS	#cc6a66	#cc8133	#cccb99	#9dcc66	#3ecc33	#99ccac	#66ccbd	#3399cc	#99a3cc	#8166cc	#a333cc	#cc99c1	#cc6687	#cc4133	#ccb599	#c8cc66	#7fcc33	#9acc99	#66cc92	#33ccbd	#99b8cc	#6675cc	#6233cc	#c099cc	#cc66b2	#cc335e	#cca099	#cca466	#c0cc33	#b0cc99	#66cc67	#33cc7d	#99ccc9	#66a0cc	#3343cc	#ab99cc	#ba66cc	#cc339e	#cc99a4	#cc7966	#cc9733	#c5cc99	#8fcc66	#33cc3c	#99ccb4	#66cccc	#3384cc	#999ccc	#8f66cc	#b833cc	#cc99ba	#cc6679	#cc5633	#ccbc99	#bacc66	#69cc33	#99cc9e	#66cca0	#33c4cc	#99b1cc	#6667cc	#7833cc	#c899cc	#cc66a4	#cc3348	#cca799	#ccb266	#aacc33	#a8cc99	#66cc75	#33cc92	#99c7cc	#6692cc	#3733cc	#b299cc	#c866cc	#cc3389	#cc999d	#cc8766	#ccac33	#becc99	#81cc66	#33cc52	#99ccbb	#66bdcc	#336ecc	#9c99cc	#9d66cc	#cc33c9	#cc99b3	#cc666a	#cc6c33	#ccc499	#accc66	#54cc33	#99cca5	#66ccaf	#33afcc	#99aacc	#7266cc	#8d33cc	#cc99c8	#cc6695	#cc3333	#ccae99	#ccc066	#95cc33	#a1cc99	#66cc84	#33cca8	#99c0cc	#6684cc	#4d33cc	#b999cc	#cc66c0	#cc3373	#cc9566	#ccc233	#b7cc99	#72cc66	#33cc67	#99ccc2	#66afcc	#3359cc	#a499cc	#ac66cc	#cc33b4	#cc99ac
LEGEND_LABELS	-	11878928	15763147	15991708	18258039	25685866	29357361	30270887	7844544	African canid	Alitax paludinosus	Antrozous pallidus	Atilax paludinosus	Bos	Bos primigenius	Bos taurus	Camelus	Canis	Canis Adustus	Canis adustus	Canis lupus	Canis mesomelas	Canis mesomelas (Jackal)	Canis mesomelas (jackal)	Canis mesomelas (silver jackal)	Canis simensis	Capra	Capra aegagrus hircus	Capra hircus	Caprinae	Caracal caracal	Cerdocyon thous	Chinese ferret badger	Civet	Civettictis civetta	Civettictis civetta (African civet)	Crocuta crocuta	Cynictis penicillata	Dama dama (fallow deer)	Eptesicus furinalis	Eptesicus fuscus	Equus	Equus  	Equus asinus	Equus caballus	Equus ferus caballus	Felis	Felis catus	Felis lybica	Felis serval	Felis silvestris catus	Galerella pulverulenta	Galerella sanguinea	Genetta genetta	Herpestes	Homo sapiens	Hyaena hyaena	Hyena	Ichneumia albicauda	Jackal	Lasionycteris noctivagans	Lasiurus borealis	Lasiurus cinereus	Lasiurus intermedius	Lasiurus seminolus	Lasiurus xanthinus	Lutrinae sp.	Lycaon pictus	Mellivora capensis	Melogale moschata (Chinese ferret badger)	Mephitis mephitis	Molossus molossus	Mongoose spp.	Myotis austroriparius	Myotis yumanensis	Nasua narica	Nyctinomops laticaudatus	Otocyon megalotis	Ovis	Ovis aries	Papio ursinus	Paradoxurus zeylonensis	Parastrellus hesperus	Perimyotis subflavus	Philantomba monticola	Procyon lotor	Proteles cristata	Simiiformes	Spilogale putorius	Stenodermatinae sp.	Suricata suricatta	Sus scrofa	Tadarida brasiliensis	Tragelaphus	Tragelaphus strepsiceros (Kudu)	Tragelaphus strepsiceros (Namibian kudu)	Unknown	Vulpes chama	Vulpes vulpes	black-backed jackal	buffalo	camel	civet	dog	donkey	dromadery	dromedary	eland	feline	ferret badger	genet	honey badger	hyena	jackal	kudu	leopard	mongoose	monkey	nilgai	not available	primate	side-stripped jackal	skunk	small-spotted genet	squirrel	unknown	wildlife	zebra
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LEGEND_TITLE	dog

DATA
#NODE_ID COLOR LABEL_OR_STYLE
AB635373	#81cc66	Paradoxurus zeylonensis
MF143384	#66afcc	skunk
MK540805	#336ecc	Procyon lotor
MG562594	#99ccb4	Equus caballus
MF143247	#336ecc	Procyon lotor
KM594026	#cc7966	Eptesicus furinalis
KM594028	#cc7966	Eptesicus furinalis
KX148245	#8d33cc	buffalo
KX148108	#999ccc	Felis catus
MN534894	#69cc33	Homo sapiens
KM594029	#cc7966	Eptesicus furinalis
JQ685971	#cc99c1	Antrozous pallidus
JQ685920	#cc9733	Eptesicus fuscus
JQ685925	#cc9733	Eptesicus fuscus
GU345746	#cc3333	dog
GU345747	#69cc33	Homo sapiens
KX148265	#cc3333	dog
KU055531	#cc3333	dog
KU055527	#69cc33	Homo sapiens
JQ685955	#b299cc	Myotis yumanensis
AB618032	#99c7cc	Molossus molossus
KM594034	#cc3389	Nyctinomops laticaudatus
FJ712193	#cc3333	dog
KX148255	#cc3333	dog
KX148257	#cc3333	dog
LC717423	#cc3333	dog
EU293111	#69cc33	Homo sapiens
MN726871	#cc3333	dog
KU055556	#c0cc33	Capra hircus
KU055530	#cc3333	dog
KY952220	#cc3333	dog
JQ685952	#33cc52	Parastrellus hesperus
JQ685921	#3733cc	Myotis austroriparius
JQ685918	#99aacc	Vulpes vulpes
JQ685957	#99aacc	Vulpes vulpes
KJ564280	#cc99a4	Dama dama (fallow deer)
MK577649	#ccac33	Ovis aries
MN726880	#cc3333	dog
KF620487	#33cca8	ferret badger
KF620488	#33cca8	ferret badger
KU946961	#cc6a66	-
KU055529	#69cc33	Homo sapiens
KY982922	#cc3333	dog
KC171644	#cc3333	dog
JQ692989	#c8cc66	Bos taurus
KX148101	#69cc33	Homo sapiens
JQ685903	#cc9733	Eptesicus fuscus
JQ685958	#33cc92	Mephitis mephitis
JQ685915	#cc66a4	Lasiurus intermedius
JQ685916	#cc66a4	Lasiurus intermedius
KM594037	#ccc499	Tadarida brasiliensis
KM594038	#ccc499	Tadarida brasiliensis
MN857170	#cc3333	dog
MN857171	#66cc84	feline
KU055521	#cc3333	dog
KU055502	#cc3333	dog
KU055528	#999ccc	Felis catus
KU055524	#69cc33	Homo sapiens
KU055539	#cc3333	dog
MK540994	#c8cc66	Bos taurus
MK540961	#66afcc	skunk
MN233968	#99aacc	Vulpes vulpes
MN233987	#99aacc	Vulpes vulpes
AF079908	#cc666a	Suricata suricatta
MK760770	#cc3333	dog
MG458317	#cc3333	dog
JQ685914	#99aacc	Vulpes vulpes
JQ685907	#cc9733	Eptesicus fuscus
JQ685902	#7833cc	Lasiurus borealis
JQ685895	#6667cc	Lasionycteris noctivagans
JQ685922	#99ccbb	Perimyotis subflavus
KX148109	#cc3333	dog
KX148100	#cc99b3	Stenodermatinae sp.
OM971001	#c866cc	Nasua narica
OM971002	#c866cc	Nasua narica
MG201921	#cc3333	dog
KX148264	#cc3333	dog
GU647092	#66cc75	Melogale moschata (Chinese ferret badger)
FJ712196	#99ccc9	Chinese ferret badger
KU055552	#cc3333	dog
KX148228	#cc3333	dog
MN534895	#69cc33	Homo sapiens
MK760702	#cc3333	dog
KY775603	#b7cc99	nilgai
OM863569	#99cc9e	Hyaena hyaena
FJ392385	#cc339e	Cynictis penicillata
MK858227	#69cc33	Homo sapiens
JQ692986	#cc6679	Galerella pulverulenta
JQ692991	#cc3333	dog
DQ194896	#99aacc	Vulpes vulpes
OM971005	#c866cc	Nasua narica
JQ685944	#33cc92	Mephitis mephitis
JQ685924	#99aacc	Vulpes vulpes
JQ685948	#99aacc	Vulpes vulpes
JQ685941	#33cc92	Mephitis mephitis
JQ685896	#99aacc	Vulpes vulpes
JQ685910	#cca799	Lasiurus xanthinus
KU055526	#cc3333	dog
KU055562	#cc3333	dog
MK760729	#cc3333	dog
MK760735	#cc3333	dog
KX148225	#cc3333	dog
KX148226	#cc3333	dog
MK760761	#cc3333	dog
KX148227	#cc3333	dog
JQ692981	#ccac33	Ovis aries
JQ685894	#33cc92	Mephitis mephitis
JQ685970	#33cc92	Mephitis mephitis
KX708503	#cc3333	dog
KX148111	#cc3333	dog
KC737850	#69cc33	Homo sapiens
KX148217	#cc3333	dog
KM594039	#33cc7d	Cerdocyon thous
JQ685900	#cc3348	Lasiurus seminolus
FJ545662	#cc3333	dog
FJ545683	#cc3333	dog
FJ545660	#999ccc	Felis catus
EU853594	#cc3333	dog
FJ392390	#999ccc	Felis catus
FJ392366	#cc6687	Atilax paludinosus
JX088731	#cc5633	Galerella sanguinea
FJ392368	#999ccc	Felis catus
