Column1;Column2;Column3;Column4;Column5;Column6;Column7
COUNTRY;ABBREVIATION;SPECIES;YEAR;REFERENCE (SOURCE);ACC. NB;
Algeria;9137ALG;Dog;1982;This report (J. Barrat);U22643;
Algeria;9457ALG;Human;1986;This report (M. Brahimi);U22449;
Benin;8697BEN;Cat;1985;This report (Pasteur Institute);U22485;
Burkina Faso;8636HAV;Dog;1986;This report (Pasteur Institute);U22646;
Cameroon;8801CAM;Dog;1988;This report (J. Godemic);U22635;
Cameroon;8804CAM;Cat;1988;This report (J. Godemic);U22636;
Cameroon;8805CAM;Pig;1988;This report (J. Godemic);U22637;
Central Afr. Rep.;9229CAF;;;;;
Central Afr. Rep.;9229CAF;Dog;1987;This report (J. Vincent);U22638;
Egypt;8592EGY;Human;1979;This report (Pasteur Institute);U22627;
Ethiopia;8820ETH;Hyena;1988;This report (Pasteur Institute);U22629;
Gabon;8683GAB;Dog;1986;This report (Pasteur Institute);U22639;
Gabon;8696GAB;Dog;1986;This report (Pasteur Institute);U22640;
Gabon;8933GAB;Dog;1986;This report (Pasteur Institute);U22641;
Guinea;9000GUI;Dog;1989;This report (Pasteur Institute);U22647;
Ivory Coast;8034CI;Dog;1980;This report (P. Goudal);U22643;
Ivory Coast;9226CI;Dog;1989;This report (P. Bommenech);U22649;
Ivory Coast;9031CI;Cat;1989;This report (P. Goudal);U22643;
Kenya;9217KEN;Dog;1990;This report (J. Mwaniki);U22654;
Madagascar;9424MAD;Dog;1994;This report (M. Morvan);U22655;
Madagascar;8425MAD;Lemur;1994;This report (M. Morvan);U22656;
Mauritania;8210MAU;Camel;1982;This report (J. Barrat);U22658;
Morocco;9197MAR;Human;1986;This report (B. Kiss);U22659;
Morocco;8106MAR;Human;1981;This report (J. Barrat);U22660;
Mozambique;8746MOZ;Dog;1987;This report (Pasteur Institute);U22662;
Namibia;9228NAM;Kudu;1987;This report (H. Zeller);U22648;
Namibia;9227NAM;Jackal;1987;This report (K. Bepen);U22648;
Niger;8616NIG;Dog;1986;This report (N. Sboch);U22650;
Nigeria;8730NGA;Dog;1987;This report (N. Sboch);U22650;
Nigeria;8699NGA;Human;1986;This report (N. Sboch);U22650;
Senegal;8749SEN;Dog;1987;This report (Pasteur Institute);U22665;
Somaliland;9320SOM;Dog;1991;This report (Pasteur Institute);U22665;
Rep. South Afr.;8712AFS;Human;1987;This report (L. Bishop);U22663;
Rep. South Afr.;8500AFS;Yellow mongoose;1987;This report (R. Swanepoel);U22664;
Rep. South Afr.;9302AFS;Water mongoose;1991;This report (R. Swanepoel);U22664;
Rep. South Afr.;9290AFS;Water mongoose;1991;This report (R. Swanepoel);U22664;
Rep. South Afr.;8774AFS;Dog;1987;This report (R. Swanepoel);U22664;
Tanzania;9221TAN;Dog;1990;This report (S. Gasconye);U22666;
Tanzania;9336TAN;Hyena;1992;This report (S. Gasconye);U22666;
Tanzania;9289TAN;Cat;1992;This report (S. Gasconye);U22666;
Tanzania;9222TAN;Wild dog;1990;This report (S. Gasconye);U22666;
Tchad;8216TCH;Dog;1982;This report (Pasteur Institute);U22644;
Tunisia;8950TUN;Dog;1986;This report (Pasteur Institute);U22684;
Tunisia;9172TUN;Human;1986;This report (Pasteur Institute);U22684;
Zaire;8964ZAI;Dog;1986;This report (R. Swanepoel);U22685;
Zimbabwe;9332ZIM;Dog;1991;This report (R. Bingham);U22657;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
