"loc","n_orig","n_post"
"Afghanistan",3,2
"Algeria",375,28
"Benin",9,2
"Botswana",6,2
"Brazil",12,6
"Burkina Faso",50,20
"Burundi",1,1
"Cameroon",95,12
"Canada",6,3
"Central African Republic",215,16
"Chad",72,14
"China",13,4
"Côte d'Ivoire",16,8
"Democratic Republic of the Congo",23,2
"Egypt",3,1
"Equatorial Guinea",1,1
"Estonia",1,1
"Ethiopia",224,5
"France",1,1
"French Guiana",1,1
"Gabon",14,6
"Gambia",1,1
"Germany",3,3
"Ghana",75,5
"Grenada",1,1
"Guinea",14,10
"Hungary",8,3
"India",2,1
"Iran",11,5
"Israel",2,1
"Kazakhstan",1,1
"Kenya",46,10
"Lao",2,1
"Lesotho",21,7
"Liberia",12,5
"Madagascar",36,1
"Malawi",52,17
"Mali",36,11
"Mauritania",24,12
"Mexico",7,5
"Montenegro",1,1
"Morocco",454,45
"Mozambique",21,12
"Namibia",86,17
"Nepal",5,2
"Niger",18,15
"Nigeria",283,26
"Philippines",4,1
"Poland",3,1
"Russia",4,4
"Rwanda",2,1
"Saudi Arabia",1,1
"Senegal",50,9
"Serbia",2,2
"Sierra Leone",2,2
"Slovenia",2,1
"Somalia",2,1
"South Africa",946,95
"South Korea",1,1
"Spain",11,9
"Sri Lanka",1,1
"Sudan",26,3
"Swaziland",1,1
"Taiwan",2,1
"Tanzania",282,53
"Thailand",2,1
"Tunisia",62,4
"Turkey",5,2
"Uganda",45,9
"United States",33,9
"Zambia",198,41
"Zimbabwe",91,50
