"loc","n_orig","n_post"
"Afghanistan",2,1
"Algeria",375,20
"Bangladesh",1,1
"Benin",9,2
"Botswana",7,3
"Brazil",5,2
"Burkina Faso",50,19
"Burundi",1,1
"Cameroon",93,7
"Canada",4,1
"Central African Republic",215,15
"Chad",72,19
"China",3,3
"Côte d'Ivoire",16,8
"Democratic Republic of the Congo",23,2
"Egypt",29,1
"Equatorial Guinea",1,1
"Ethiopia",71,9
"France",3,3
"Gabon",14,7
"Gambia",1,1
"Germany",4,3
"Ghana",76,6
"Guinea",14,9
"Hungary",10,4
"India",1,1
"Iran",11,4
"Iraq",1,1
"Israel",1,1
"Kenya",46,11
"Lesotho",21,12
"Liberia",13,6
"Madagascar",37,1
"Malawi",49,17
"Mali",36,11
"Mauritania",24,11
"Mexico",8,3
"Montenegro",1,1
"Morocco",455,51
"Mozambique",21,12
"Namibia",88,20
"Nepal",3,2
"Niger",18,14
"Nigeria",269,38
"Peru",1,1
"Poland",3,2
"Russia",1,1
"Rwanda",2,1
"Senegal",50,10
"Serbia",2,2
"Sierra Leone",2,2
"Slovenia",1,1
"Somalia",2,1
"South Africa",929,94
"South Korea",1,1
"Spain",11,8
"Sudan",26,3
"Swaziland",1,1
"Tanzania",282,36
"Tunisia",64,6
"Turkey",4,2
"Uganda",45,10
"United States",7,4
"Zambia",199,43
"Zimbabwe",91,42
