Accession	Length	Clade	Isolate	loc	Collection_Date	Host	clade_simple	fragment	cluster
OM971001	11796	AL_Bats_TB1	9022MxCoatiQRoo07	Mexico	2007	Nasua narica	Bat_Clade	WGS	0
OM971002	11794	AL_Bats_TB1	1767MxCoatiQroo08	Mexico	2008	Nasua narica	Bat_Clade	WGS	0
OM971005	11794	AL_Cosmopolitan	25MxCoatiYuc20	Mexico	2020	Nasua narica	Cosmopolitan_Clade	WGS	0
LC682823	460	AL_Cosmopolitan_AF1b		Malawi	2019	Canis familiaris	Cosmopolitan_Clade	N	0
LC682827	460	AL_Cosmopolitan_AF1b		Malawi	2019	Felis catus	Cosmopolitan_Clade	N	0
LC682829	460	AL_Cosmopolitan_AF1b		Malawi	2019	Canis familiaris	Cosmopolitan_Clade	N	0
LC682832	460	AL_Cosmopolitan_AF1b		Malawi	2019	Canis familiaris	Cosmopolitan_Clade	N	6489
LC682841	460	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	0
LC682843	460	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	7555
LC682847	397	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	0
LC682849	460	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	7542
LC682855	460	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	0
LC683167	608	AL_Cosmopolitan_AF1b		Malawi	2019	Bos taurus	Cosmopolitan_Clade	G	7565
LC683169	608	AL_Cosmopolitan_AF1b		Malawi	2020	Canis familiaris	Cosmopolitan_Clade	G	7581
LC683173	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	7145
LC683176	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	7560
LC683178	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	0
LC683180	608	AL_Cosmopolitan_AF1b		Malawi	2021	Bos taurus	Cosmopolitan_Clade	G	0
LC683181	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	0
LC683182	608	AL_Cosmopolitan_AF1b		Malawi	2021	Bos taurus	Cosmopolitan_Clade	G	0
MW248383	657	AL_Cosmopolitan_AF1b		Mozambique	2018	Canis familiaris	Cosmopolitan_Clade	N	7767
MW248384	648	AL_Cosmopolitan_AF1b		Mozambique	2018	Canis familiaris	Cosmopolitan_Clade	N	0
MW248385	649	AL_Cosmopolitan_AF1b		Mozambique	2018	feline	Cosmopolitan_Clade	N	0
MW349550	540	AL_Cosmopolitan_AF1b		Mozambique	2018	Canis familiaris	Cosmopolitan_Clade	G	0
OK564514	11925	AL_Cosmopolitan_Vac2	CPA-06882-21	Mexico	2021	Equus caballus	Cosmopolitan_Clade	WGS	5072
ON366710	11723	AL_Cosmopolitan_CA1	Rab-35-2-4	Kazakhstan	2021	Felis catus	Cosmopolitan_Clade	WGS	0
MH514969	11923	AL_Africa-2	SH177846SEN_2005	Senegal	2005	Homo sapiens	AL_Africa-2	WGS	4719
MZ417978	726	AL_Cosmopolitan_AF1a	ETH1590DGOROWSHEWA13	Ethiopia	2013	Canis familiaris	Cosmopolitan_Clade	N	5374
MZ418086	726	AL_Cosmopolitan_AF1a	ETH1560FXAMHARANWOLLO16	Ethiopia	2016	Canis familiaris	Cosmopolitan_Clade	N	0
MZ418093	726	AL_Cosmopolitan_AF1a	ETH1643DGADKOLFEKERANIO12	Ethiopia	2012	Canis familiaris	Cosmopolitan_Clade	N	5313
MZ418095	726	AL_Cosmopolitan_AF1a	ETH1452DGSNNPRAZENA16	Ethiopia	2016	Canis familiaris	Cosmopolitan_Clade	N	5310
MZ418100	726	AL_Cosmopolitan_AF1a	ETH1555FXADADDISKETEMA15	Ethiopia	2015	side-stripped jackal	Cosmopolitan_Clade	N	7552
MT370507	561	AL_Africa-2	20RD-308-8	Benin	2018	Canis familiaris	AL_Africa-2	N	4624
MW553267	320	AL_Cosmopolitan_AF1a		Gabon	2019	Homo sapiens	Cosmopolitan_Clade	L	5135
MW553269	579	AL_Cosmopolitan_AF1a		Gabon	2019	Homo sapiens	Cosmopolitan_Clade	N	5128
MW055047	277	AL_Cosmopolitan_AF1b	201110175	Kenya	2018	Bos taurus	Cosmopolitan_Clade	G	6637
MW055048	1575	AL_Cosmopolitan_AF1b	2011100176	Kenya	2018	Bos taurus	Cosmopolitan_Clade	G	0
MW055113	1353	AL_Cosmopolitan_AF1b	Z0083186	Kenya	2018	Bos taurus	Cosmopolitan_Clade	N	6598
MW055121	1353	AL_Cosmopolitan_AF1a	Z018151377	Kenya	2018	Canis familiaris	Cosmopolitan_Clade	N	5349
MW074784	345	AL_Cosmopolitan_AF1b	2011100176	Kenya	2018	Bos taurus	Cosmopolitan_Clade	N	0
MW074786	301	AL_Cosmopolitan_AF1b	2011100176	Kenya	2018	Bos taurus	Cosmopolitan_Clade	N	0
MK858232	540	AL_Cosmopolitan_AF1b	SVPL101/18	South Africa	2018	Homo sapiens	Cosmopolitan_Clade	N	7832
MN264702	421	AL_Cosmopolitan_AF1b	3609	Democratic Republic of the Congo	2009	Canis familiaris	Cosmopolitan_Clade	N	6531
MN049979	1353	AL_Africa-2	17013LIB	Liberia	2017	Canis familiaris	AL_Africa-2	N	0
MN049980	1353	AL_Africa-2	18009LIB	Liberia	2018	Canis familiaris	AL_Africa-2	N	0
MN049982	1353	AL_Africa-2	18007LIB	Liberia	2017	Canis familiaris	AL_Africa-2	N	4816
MN049984	1353	AL_Africa-2	18018LIB	Liberia	2018	Canis familiaris	AL_Africa-2	N	0
MT454637	11923	AL_Cosmopolitan_AF1b	583/16	South Africa	2016	Canis lupus familiaris	Cosmopolitan_Clade	WGS	0
MT454644	11923	AL_Cosmopolitan_AF1b	368/17	South Africa	2017	Canis lupus familiaris	Cosmopolitan_Clade	WGS	0
MT454645	11922	AL_Cosmopolitan_AF1b	400/17	South Africa	2017	Canis lupus familiaris	Cosmopolitan_Clade	WGS	7497
MT454648	11923	AL_Cosmopolitan_AF1b	466/17	South Africa	2017	Canis mesomelas	Cosmopolitan_Clade	WGS	7868
MK598393	11798	AL_Cosmopolitan_NEE	14940	Hungary	2014	Vulpes vulpes	Cosmopolitan_Clade	WGS	5108
