Accession	Length	Clade	Isolate	loc	Collection_Date	Host	clade_simple	fragment	region23	cluster
OM971003	11794	AL_Cosmopolitan	1442MxCoatiYuc15	Mexico	2015	Nasua narica	Cosmopolitan_Clade	WGS	Central America	4834
LC682825	460	AL_Cosmopolitan_AF1b		Malawi	2020	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	6661
LC682827	460	AL_Cosmopolitan_AF1b		Malawi	2019	Felis catus	Cosmopolitan_Clade	N	Eastern Africa	0
LC682832	460	AL_Cosmopolitan_AF1b		Malawi	2019	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	6078
LC682834	460	AL_Cosmopolitan_AF1b		Malawi	2019	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	6074
LC682836	460	AL_Cosmopolitan_AF1b		Malawi	2019	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC682846	460	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	6079
LC682847	397	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC682849	460	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC682852	418	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	6675
LC683168	608	AL_Cosmopolitan		Malawi	2019	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC683170	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	6678
LC683175	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	7566
LC683178	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC683180	608	AL_Cosmopolitan_AF1b		Malawi	2021	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	0
LC683182	608	AL_Cosmopolitan_AF1b		Malawi	2021	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	0
LC683183	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	6696
LC683185	608	AL_Cosmopolitan_AF1b		Malawi	2021	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
OM542195	11801	AL_Cosmopolitan_CE	2258140221L_POL	Poland	2021	Vulpes vulpes	Cosmopolitan_Clade	WGS	Eastern Europe	4917
OM863569	11859	AL_Arctic_AL1a	DS-A	India	2021	Hyaena hyaena	Arctic_Clade	WGS	Southern Asia	0
MW248384	648	AL_Cosmopolitan_AF1b		Mozambique	2018	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
MW248385	649	AL_Cosmopolitan_AF1b		Mozambique	2018	feline	Cosmopolitan_Clade	N	Eastern Africa	0
MW248387	647	AL_Cosmopolitan_AF1b		Mozambique	2018	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	7375
MW349550	540	AL_Cosmopolitan_AF1b		Mozambique	2018	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
MH514981	11923	AL_Africa-2	SA252888SEN_2013	Senegal	2013	Canis lupus familiaris	AL_Africa-2	WGS	Western Africa	4491
MZ418020	726	AL_Cosmopolitan_AF1a	ETH1516DGADGULLELE17	Ethiopia	2017	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	3939
MZ418052	726	AL_Cosmopolitan_AF1a	ETH1287DGADARADA12	Ethiopia	2012	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	3959
